18,锅炉数据采集监测终端终端设备参数查询响应包（终端发到平台）,,,,Terminal,0xA8
Id,TagId,TagName,DataType,Length,Start,End
0,1,包头,HEX,2,0,1
1,2,有效数据长度,HEX,2,2,3
2,3,流水号,HEX,2,4,5
3,4,状态消息码,HEX,1,6,6
4,5,终端身份识别码,CHAR,6,7,12
5,6,查询响应情况,HEX,1,13,13
6,9,数据格式版本号,HEX,1,14,14
7,10,锅炉编号,CHAR,2,15,16
8,441,Coal_QNETVAR燃料收到基低位发热量,HEX,2,17,18
9,442,Coal_AAR燃料收到基灰分,HEX,2,19,20
10,443,Coal_MAR燃料收到基水分,HEX,2,21,22
11,444,Coal_VDAF干燥无灰基挥发分,HEX,2,23,24
12,445,Coal_CLZ炉渣可燃物含量,HEX,2,25,26
13,446,Coal_CLM漏煤可燃物含量,HEX,2,27,28
14,447,Coal_CFH飞灰可燃物含量,HEX,2,29,30
15,448,Coal_DED锅炉额定负荷,HEX,2,31,32
16,449,Coal_DSC锅炉实测负荷,HEX,2,33,34
17,450,Coal_ALZ炉渣含灰量占入炉煤总灰量百分比,HEX,2,35,36
18,451,Coal_ALM漏煤含灰量占入炉煤总灰量百分比,HEX,2,37,38
19,452,Coal_AFH飞灰含灰量占入炉煤总灰量百分比,HEX,2,39,40
20,453,Coal_Q3气体未完全燃烧热损失,HEX,2,41,42
21,454,Coal_M燃料计算系数,HEX,2,43,44
22,455,Coal_N燃料计算系数,HEX,2,45,46
23,456,Coal_TLZ炉渣温度,HEX,2,47,48
24,457,Coal_CT_LZ炉渣焓,HEX,2,49,50
25,458,Gas_DED锅炉额定负荷,HEX,2,51,52
26,459,Gas_DSC锅炉实测负荷,HEX,2,53,54
27,460,Gas_APY排烟处过量空气系数,HEX,2,55,56
28,461,Gas_Q3气体未完全燃烧热损失,HEX,2,57,58
29,462,Gas_M燃料计算系数,HEX,2,59,60
30,463,Gas_N燃料计算系数,HEX,2,61,62
31,603,配置参数预留1,HEX,2,63,64
32,604,配置参数预留2,HEX,2,65,66
33,605,配置参数预留3,HEX,2,67,68
34,606,配置参数预留4,HEX,2,69,70
35,607,配置参数预留5,HEX,2,71,72
36,608,配置参数预留6,HEX,2,73,74
37,501,报警阀值1,HEX,2,75,76
38,502,报警阀值2,HEX,2,77,78
39,503,报警阀值3,HEX,2,79,80
40,504,报警阀值4,HEX,2,81,82
41,505,报警阀值5,HEX,2,83,84
42,506,报警阀值6,HEX,2,85,86
43,507,报警阀值7,HEX,2,87,88
44,508,报警阀值8,HEX,2,89,90
45,801,保留1,HEX,2,91,92
46,802,保留2,HEX,2,93,94
47,803,保留3,HEX,2,95,96
48,804,保留4,HEX,2,97,98
49,998,CRC校验,HEX,2,99,100
50,999,包尾,HEX,2,101,102