10,模拟量采集参数定义表,,,,,,,,,
ParamId,Name,NameEn,CategoryId,MediumId,BoilerMediums,Unit,Scale,Fix,Length,Remark
1,蒸汽温度,Steam Temperature,10,1,1,℃,0.1,1,2,实际值=寄存器值*0.1
2,蒸汽压力,Steam Pressure,10,1,1,MPa,0.001,3,2,
3,蒸汽流量,Steam Flow,10,1,1,t/h,0.1,1,2,
4,给水温度,Feedwater Temperature,10,2,12,℃,0.1,1,2,
5,给水温度(低),"Feedwater Temperature (Economizer Entry, Low)",10,2,12,℃,0.1,1,2,节能器进口
6,给水温度(高),"Feedwater Temperature (Entrance Outlet, High)",10,2,12,℃,0.1,1,2,节能器出口
7,给水压力,Feedwater Pressure,10,2,12,MPa,0.001,3,2,
8,给水压力(低),"Feedwater Pressure (Entrance Entry, Low)",10,2,12,MPa,0.001,3,2,节能器进口
9,给水压力(高),"Feedwater Pressure (Entrance Outlet, High)",10,2,12,MPa,0.001,3,2,节能器出口
10,给水流量,Feedwater Flow,10,2,12,,,2,2,
11,锅炉水位,Boiler Water Level,10,2,12,,,2,2,
12,电导率,Electric Conductivity,10,2,12,,,2,2,
13,排烟温度,Exhaust Gas Temperature,10,6,12,℃,0.1,1,2,
14,排烟温度(高),"Exhaust Gas Temperature (Entrance Entry, High)",10,6,12,℃,0.1,1,2,节能器进口
15,排烟温度(低),"Exhaust Gas Temperature (Entrance Outlet, Low)",10,6,12,℃,0.1,1,2,节能器出口
16,烟气O2含量,Contents of O2 in Exhaust Gas,10,6,12,%,0.1,2,2,
17,烟气CO含量,Contents of CO in Exhaust Gas,10,6,12,%,0.1,2,2,
18,烟气CO2含量,Contents of CO2 in Exhaust Gas,10,6,12,%,0.1,2,2,
19,烟气NO2含量,Contents of NO2 in Exhaust Gas,10,6,12,%,0.1,2,2,
20,烟气浓度,Exhaust Gas Concentration,10,6,12,,,2,2,
21,室内温度(环境温度),Indoor(Ambient) Temperature,10,3,12,℃,0.1,2,2,
22,室外温度,Outdoor Temperature,10,3,12,℃,0.1,2,2,
23,燃气压力,Gas Pressure,10,5,12,,,2,2,
24,燃气温度,燃气温度,10,5,12,,,2,2,
25,燃气流量,燃气流量,10,5,12,,,2,2,
26,轻油流量,轻油流量,10,5,12,,,2,2,
27,重油流量,重油流量,10,5,12,,,2,2,
28,重油温度,重油温度,10,5,12,,,2,2,
29,料斗秤重,料斗秤重,10,5,12,,,2,2,
30,电压(单相),电压(单相),10,4,12,V,,2,2,
31,电流(单相),电流(单相),10,4,12,A,,2,2,
32,电压(A相),电压(A相),10,4,12,,,2,2,
33,电压(B相),电压(B相),10,4,12,,,2,2,
34,电压(C相),电压(C相),10,4,12,,,2,2,
35,电流(A相),电流(A相),10,4,12,,,2,2,
36,电流(B相),电流(B相),10,4,12,,,2,2,
37,电流(C相),电流(C相),10,4,12,,,2,2,
38,有功功率,有功功率,10,4,12,,,2,2,
39,无功功率,无功功率,10,4,12,,,2,2,
40,功率因素,功率因素,10,4,12,,,2,2,
41,电源频率,电源频率,10,4,12,,,2,2,
42,累计用电量,累计用电量,10,4,12,kwh,,2,2,
43,炉膛温度,炉膛温度,10,7,12,,,2,2,
44,炉膛压力,炉膛压力,10,7,12,,,2,2,
45,燃烧机负荷调节输出显示,燃烧机负荷调节输出显示,10,8,12,,,2,2,
46,热水出水1(导热油出口)温度,热水出水1(导热油出口)温度,10,0,245,,,2,2,
47,热水回水1(导热油出口)温度,热水回水1(导热油出口)温度,10,0,245,,,2,2,
48,热水出水1(导热油出口)压力,热水出水1(导热油出口)压力,10,0,245,,,2,2,
49,热水回水1(导热油出口)压力,热水回水1(导热油出口)压力,10,0,245,,,2,2,
50,热水出水1(导热油出口)流量,热水出水1(导热油出口)流量,10,0,245,,,2,2,
51,热水出水2温度,热水出水2温度,10,0,4,,,2,2,
52,热水回水2温度,热水回水2温度,10,0,4,,,2,2,
53,热水出水2压力,热水出水2压力,10,0,4,,,2,2,
54,热水回水2压力,热水回水2压力,10,0,4,,,2,2,
55,热水出水2流量,热水出水2流量,10,0,4,,,2,2,
56,热水出水3温度,热水出水3温度,10,0,4,,,2,2,
57,热水回水3温度,热水回水3温度,10,0,4,,,2,2,
58,热水出水3压力,热水出水3压力,10,0,4,,,2,2,
59,热水回水3压力,热水回水3压力,10,0,4,,,2,2,
60,热水出水3流量,热水出水3流量,10,0,4,,,2,2,
61,热水出水4温度,热水出水4温度,10,0,4,,,2,2,
62,热水回水4温度,热水回水4温度,10,0,4,,,2,2,
63,热水出水4压力,热水出水4压力,10,0,4,,,2,2,
64,热水回水4压力,热水回水4压力,10,0,4,,,2,2,
65,热水出水4流量,热水出水4流量,10,0,4,,,2,2,
66,介质水温度,介质水温度,10,0,4,,,2,2,
67,真空压力,真空压力,10,0,4,,,2,2,
68,母管出水(油/汽)温度,母管出水(油)(汽)温度,10,0,1245,,,2,2,
69,母管回水(油/汽)温度,母管回水(油)(汽)温度,10,0,1245,,,2,2,
70,母管出水(油/汽)压力,母管出水(油)(汽)压力,10,0,1245,,,2,2,
71,母管回水(油/汽)压力,母管回水(油)(汽)压力,10,0,1245,,,2,2,
72,母管出水(油/汽)流量,母管出水(油)(汽)流量,10,0,1245,,,2,2,
73,导热油进出口压差,导热油进出口压差,10,0,1245,,,2,2,
80,空气湿度,Humidity,10,0,1245,RH(%),0.1,1,2,
90,省煤器#1出口温度,省煤器#1出口温度,10,0,1245,℃,0.1,1,2,
91,省煤器#2出口温度,省煤器#2出口温度,10,0,1245,℃,0.1,1,2,
92,排烟#1温度,排烟#1温度,10,0,1245,℃,0.1,1,2,
93,排烟#2温度,排烟#2温度,10,0,1245,℃,0.1,1,2,
94,氧化锆#1,氧化锆#2,10,0,1245,%,0.1,1,2,
95,氧化锆#2,氧化锆#3,10,0,1245,%,0.1,1,2,
96,供水温度,供水温度,10,0,1245,℃,0.1,1,2,
97,回水温度,回水温度,10,0,1245,℃,0.1,1,2,
98,供水压力,供水压力,10,0,1245,MPa,0.1,1,2,
99,回水压力,回水压力,10,0,1245,MPa,0.1,1,2,
100,汽包水位,汽包水位,10,0,1245,mm,0.1,1,2,
101,水泵变频反馈,水泵变频反馈,10,0,1245,%,0.1,1,2,
102,除氧器汽压,除氧器汽压,10,0,1245,KPa,0.1,1,2,
103,除氧器水位,除氧器水位,10,0,1245,%,0.1,1,2,
104,除氧器水温度,除氧器水温度,10,0,1245,℃,0.1,1,2,
105,炉膛出口温度,炉膛出口温度,10,0,1245,℃,0.1,1,2,
106,1#炉膛负压,1#炉膛负压,10,0,1245,Pa,0.1,1,2,
107,2#炉膛负压,2#炉膛负压,10,0,1245,Pa,0.1,1,2,
108,1#炉引风负压,1#炉引风负压,10,0,1245,Pa,0.1,1,2,
109,2#炉引风负压,2#炉引风负压,10,0,1245,Pa,0.1,1,2,
110,1#供水压力,1#供水压力,10,0,1245,MPa,0.1,1,2,
111,2#供水压力,2#供水压力,10,0,1245,MPa,0.1,1,2,
112,1#回水压力,1#回水压力,10,0,1245,MPa,0.1,1,2,
113,2#回水压力,2#回水压力,10,0,1245,MPa,0.1,1,2,
114,1#炉膛温度,1#炉膛温度,10,0,1245,℃,0.1,1,2,
115,2#炉膛温度,2#炉膛温度,10,0,1245,℃,0.1,1,2,
116,1#除尘温度,1#除尘温度,10,0,1245,℃,0.1,1,2,
117,2#除尘温度,2#除尘温度,10,0,1245,℃,0.1,1,2,
118,1#供水温度,1#供水温度,10,0,1245,℃,0.1,1,2,
119,2#供水温度,2#供水温度,10,0,1245,℃,0.1,1,2,
120,1#回水温度,1#回水温度,10,0,1245,℃,0.1,1,2,
121,2#回水温度,2#回水温度,10,0,1245,℃,0.1,1,2,
122,氧气,氧气,10,0,1245,%,0.1,1,2,
123,氮氧化物,氮氧化物,10,0,1245,mg/m3,0.1,1,2,
124,二氧化硫,二氧化硫,10,0,1245,mg/m3,0.1,1,2,
125,颗粒物,颗粒物,10,0,1245,mg/m3,0.1,1,2,
126,流速,流速,10,0,1245,m/s,0.1,1,2,